"","theta","phys","Ppu","Ps","Pu","Pps","PpAll","PsiU","PsiS"
"41",-16,"Plain",1.52580459271899e-51,1.3221846956199e-40,2.03440612362532e-51,3.30546173904975e-41,3.30546173920233e-41,4.61601044907932e-11,0.99999999995384
"42",-15.9,"Plain",5.18880999450265e-51,3.25686439737931e-40,6.91841332600353e-51,8.14216099344827e-41,8.14216099396715e-41,6.37276762071794e-11,0.999999999936272
"43",-15.8,"Plain",1.75310201349038e-50,7.98633806550309e-40,2.3374693513205e-50,1.99658451637577e-40,1.99658451655108e-40,8.78050490203491e-11,0.999999999912195
"44",-15.7,"Plain",5.88460314956807e-50,1.9495580274776e-39,7.84613753275742e-50,4.87389506869399e-40,4.87389506928245e-40,1.20737173573054e-10,0.999999999879263
"45",-15.6,"Plain",1.96244612026462e-49,4.73767325205299e-39,2.6165948270195e-49,1.18441831301325e-39,1.18441831320949e-39,1.65688599912548e-10,0.999999999834311
"46",-15.5,"Plain",6.50202858512789e-49,1.14613165211637e-38,8.66937144683718e-49,2.86532913029092e-39,2.86532913094112e-39,2.26920827869861e-10,0.999999999773079
"47",-15.4,"Plain",2.14027992370739e-48,2.76022427130658e-38,2.85370656494318e-48,6.90056067826644e-39,6.90056068040672e-39,3.10160293175081e-10,0.99999999968984
"48",-15.3,"Plain",6.99943285319009e-48,6.61751138404511e-38,9.33257713758678e-48,1.65437784601128e-38,1.65437784671122e-38,4.23085504143109e-10,0.999999999576914
"49",-15.2,"Plain",2.2741845049832e-47,1.5793758260365e-37,3.03224600664427e-47,3.94843956509126e-38,3.94843956736544e-38,5.75970447611695e-10,0.99999999942403
"50",-15.1,"Plain",7.34106570803017e-47,3.75246576197248e-37,9.78808761070689e-47,9.38116440493121e-38,9.38116441227228e-38,7.82532464565562e-10,0.999999999217468
"51",-15,"Plain",2.35430701774298e-46,8.8754105830502e-37,3.13907602365731e-46,2.21885264576255e-37,2.21885264811686e-37,1.06104703245665e-09,0.999999998938953
"52",-14.9,"Plain",7.50131932882279e-46,2.08978029703262e-36,1.00017591050971e-45,5.22445074258155e-37,5.22445075008287e-37,1.43581013347744e-09,0.99999999856419
"53",-14.8,"Plain",2.37455799339532e-45,4.89838898823178e-36,3.1660773245271e-45,1.22459724705795e-36,1.2245972494325e-36,1.93905220226138e-09,0.999999998060948
