"","EMT_ID","ERE88","DATE","Value","theta"
"90","SF-XZ",67.29,1998-07-15,66.2751612903226,1.01483870967742
"91","SF-N2",63.05,1998-08-15,61.0874193548387,1.96258064516129
"92","SF-LB",63.42,1998-08-15,63.2374193548387,0.182580645161295
"93","SF-N1",63.71,1998-08-15,63.6470967741935,0.0629032258064441
"94","SF-LA",66.6,1998-08-15,65.971935483871,0.628064516129044
"95","SF-XZ",67.29,1998-08-15,66.3512903225806,0.938709677419368
"96","SF-N2",63.05,1998-09-15,61.2156666666667,1.83433333333333
"97","SF-LB",63.42,1998-09-15,64.037,-0.617000000000004
"98","SF-N1",63.71,1998-09-15,63.608,0.101999999999997
"99","SF-LA",66.6,1998-09-15,65.9533333333333,0.646666666666675
"100","SF-XZ",67.29,1998-09-15,67.1223333333333,0.167666666666676
"101","SF-N2",63.05,1998-10-15,60.9716129032258,2.07838709677419
"102","SF-LB",63.42,1998-10-15,63.6248387096774,-0.204838709677418
"103","SF-N1",63.71,1998-10-15,63.2496774193548,0.460322580645155
"104","SF-LA",66.6,1998-10-15,65.657,0.943000000000012
"105","SF-XZ",67.29,1998-10-15,67.0603225806452,0.229677419354843
"106","SF-N2",63.05,1998-11-15,60.944,2.10599999999999
"107","SF-LB",63.42,1998-11-15,63.5496666666667,-0.129666666666665
"108","SF-N1",63.71,1998-11-15,63.1843333333333,0.525666666666659
"109","SF-LA",66.6,1998-11-15,65.76,0.840000000000003
"110","SF-XZ",67.29,1998-11-15,66.7896666666667,0.500333333333344
"111","SF-N2",63.05,1998-12-15,60.3277419354839,2.72225806451613
"112","SF-LB",63.42,1998-12-15,63.2058064516129,0.214193548387101
"113","SF-N1",63.71,1998-12-15,62.5187096774194,1.19129032258064
"114","SF-LA",66.6,1998-12-15,65.0483870967742,1.55161290322582
"115","SF-XZ",67.29,1998-12-15,66.1983870967742,1.09161290322581
"116","SF-N2",63.05,1999-01-15,60.1074193548387,2.94258064516129
"117","SF-LB",63.42,1999-01-15,62.9693548387097,0.450645161290325
"118","SF-N1",63.71,1999-01-15,62.3493548387097,1.36064516129031
"119","SF-LA",66.6,1999-01-15,64.86,1.74000000000001
"120","SF-XZ",67.29,1999-01-15,65.8661290322581,1.42387096774195
"121","SF-N2",63.05,1999-02-15,60.1496428571429,2.90035714285714
"122","SF-LB",63.42,1999-02-15,62.7753571428571,0.644642857142863
"123","SF-N1",63.71,1999-02-15,62.3582142857143,1.35178571428571
"124","SF-LA",66.6,1999-02-15,64.8582142857143,1.74178571428573
"125","SF-XZ",67.29,1999-02-15,65.6671428571429,1.62285714285714
"126","SF-N2",63.05,1999-03-15,59.4925806451613,3.55741935483871
"127","SF-LB",63.42,1999-03-15,61.9545161290323,1.46548387096774
"128","SF-N1",63.71,1999-03-15,61.6561290322581,2.05387096774193
