CFCA/EMT ID,Site Name,Original Status Assessment,Stress Status in 2018,Physiographic Region,Wetland Type,Hydrologically Altered,Edge Reference Elevation (ft NGVD 29),Conversion Factor to NAVD 88,Edge Reference Elevation (ft NAVD 88),Longitude,Latitude,Urban Density
SW-N5,NE Lakeland Wellfield J,NA,Not Stressed,Plain,2A-M,No,NA,NA,134.16,-81.8883,28.1652,Moderate
SW-N6,NE Lakeland Wellfield K,NA,Not Stressed,Plain,1A,No,NA,NA,134.43,-81.8962,28.161,Moderate
SW-N7,Van Fleet #2,NA,Not Stressed,Plain,1A,No,126.7,-0.86,125.84,-81.6634,28.2422,High
SW-N8,Saddle Blanket Scrub #2,NA,Not Stressed,Ridge,1B,No,120.1,-0.991,119.11,-81.5788,27.6706,Low
SW-N9,"LWRWEA, Mountain Lake Cutoff Tract #1",NA,Stressed,Ridge,1B,No,NA,NA,129.33,-81.5939,27.9198,High
SW-QA,Big Gum Lake,Stressed,Not Stressed,Ridge,1F,Yes,95.95,-0.78,95.17,-81.492193,27.928229,Low
SW-QB,Bonnet Lake,Not Stressed,Not Stressed,Ridge,1F,No,92.04,-1.15,90.89,-81.438926,27.546476,Low
SW-QC,Buck Lake,Not Stressed,Not Stressed,Ridge,1F,No,95.05,-1.42,93.63,-81.332671,27.234785,Moderate
SW-QD,Gator Lake,Not Stressed,Stressed,Ridge,1F,No,131.8,-0.58,131.22,-81.686616,27.841225,Low 
SW-QE,Lake Annie,Not Stressed,Not Stressed,Ridge,1F,No,111.49,-1.2,110.29,-81.351758,27.205947,Low
SW-QF,Lake Apthorpe,Not Stressed,Not Stressed,Ridge,1F,Yes,71.28,-1.18,70.1,-81.362716,27.34429,Low 
SW-QH,Lake Leonore,Not Stressed,Not Stressed,Ridge,1F,No,86.23,-1.06,85.17,-81.512255,27.793753,Low 
SW-QI,Lake Placid,Not Stressed,Not Stressed,Ridge,1F,No,94.91,-1.12,93.79,-81.364219,27.244505,Moderate
SW-QJ,Lake Streety,Not Stressed,Not Stressed,Ridge,1F,No,105.95,-0.89,105.06,-81.569989,27.678406,Low
SW-QK,Lake Van,Not Stressed,Not Stressed,Ridge,1F,No,134.32,-1.01,133.31,-81.768938,28.10715,Low
SW-QL,Lake Walker,Stressed,Stressed,Ridge,1F,No,150.28,-1.11,149.17,-81.717885,27.853656,Moderate
SW-QM,Polecat Lake,Stressed,Not Stressed,Ridge,1F,No,144.37,-0.85,143.52,-81.699882,27.843913,Low
SW-QN,Surveyors Lake,Not Stressed,Not Stressed,Ridge,1F,No,133.36,-0.93,132.44,-81.691552,27.83397,Low
SW-QO,Parks Lake,Not Stressed,Not Stressed,Ridge,1F,No,102.81,-0.95,101.86,-81.46841,27.9157,Low
SW-QQ,Crooked Lake,Stressed,Not Stressed,Ridge,1F,Yes,121.29,-1.03,120.26,-81.55303,27.82797,Low
