delta,ZRPu,ZPPu,ZRPs,ZPPs
4.73,0.653491842,0.896873555,0.000698404,3.98E-06
4.74,0.654819121,0.897841491,0.000695834,3.95E-06
4.75,0.656144176,0.898802864,0.00069327,3.92E-06
4.76,0.657466997,0.899757692,0.000690711,3.89E-06
4.77,0.658787572,0.900705994,0.000688157,3.86E-06
4.78,0.660105891,0.901647787,0.000685609,3.83E-06
4.79,0.661421945,0.90258309,0.000683065,3.80E-06
4.8,0.662735723,0.903511922,0.000680527,3.77E-06
4.81,0.664047214,0.904434303,0.000677995,3.74E-06
4.82,0.665356408,0.905350251,0.000675468,3.71E-06
4.83,0.666663296,0.906259786,0.000672946,3.68E-06
4.84,0.667967867,0.907162927,0.000670429,3.65E-06
4.85,0.669270112,0.908059694,0.000667918,3.62E-06
4.86,0.67057002,0.908950107,0.000665413,3.59E-06
4.87,0.671867581,0.909834186,0.000662913,3.56E-06
4.88,0.673162787,0.910711952,0.000660418,3.53E-06
4.89,0.674455626,0.911583423,0.000657929,3.50E-06
4.9,0.67574609,0.912448622,0.000655446,3.47E-06
4.91,0.677034169,0.913307568,0.000652968,3.44E-06
4.92,0.678319854,0.914160283,0.000650496,3.41E-06
4.93,0.679603134,0.915006787,0.000648029,3.38E-06
4.94,0.680884,0.915847101,0.000645568,3.36E-06
4.95,0.682162444,0.916681248,0.000643112,3.33E-06
4.96,0.683438455,0.917509248,0.000640662,3.30E-06
4.97,0.684712026,0.918331122,0.000638218,3.27E-06
4.98,0.685983145,0.919146893,0.000635779,3.24E-06
4.99,0.687251805,0.919956583,0.000633346,3.22E-06
5,0.688517996,0.920760212,0.000630919,3.19E-06
5.01,0.689781709,0.921557804,0.000628497,3.16E-06
5.02,0.691042936,0.922349381,0.000626082,3.13E-06
5.03,0.692301667,0.923134965,0.000623672,3.11E-06
5.04,0.693557894,0.923914578,0.000621267,3.08E-06
5.05,0.694811609,0.924688243,0.000618869,3.05E-06
5.06,0.696062801,0.925455983,0.000616476,3.02E-06
5.07,0.697311464,0.926217821,0.000614089,3.00E-06
5.08,0.698557587,0.926973779,0.000611707,2.97E-06
5.09,0.699801164,0.927723882,0.000609332,2.94E-06
5.1,0.701042185,0.928468151,0.000606962,2.92E-06
5.11,0.702280642,0.92920661,0.000604599,2.89E-06
5.12,0.703516527,0.929939283,0.000602241,2.86E-06
5.13,0.704749832,0.930666194,0.000599889,2.83E-06
5.14,0.705980548,0.931387365,0.000597542,2.81E-06
