"STATION","DateRange","prank","value"
"GREEN SWAMP 7 WETLAND SURF","2008-2017","P80",104.294485714286
"GREEN SWAMP BAY UPLAND SURF","2008-2017","P80",98.1564431818182
"GREEN SWAMP MARSH UPLAND SURF","2008-2017","P80",90.4359
"Green Swamp 5 Upland Surf","2008-2017","P80",95.6035325670498
"LAKE ANNIE (HIGHLANDS)","2008-2017","P80",108.88021978022
"Lake Apthorpe","2008-2017","P80",67.9017802197802
"LAKE GARFIELD","2008-2017","P80",100.676487804878
"Lake Leonore (Patrick)","2008-2017","P80",84.2134453781513
"Lake Placid","2008-2017","P80",88.4234074074074
"LAKE STREETY","2008-2017","P80",102.598222222222
"Lake Van","2008-2017","P80",130.831471861472
"Lake Wailes","2008-2017","P80",101.736263354037
"ROMP 58 SURF AQ MONITOR","2008-2017","P80",121.02
"LAKE WALKER","2008-2017","P80",137.028760784314
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2008-2017","P80",128.459571428571
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2008-2017","P80",128.570142857143
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2008-2017","P80",128.977285714286
"PARKS LAKE","2008-2017","P80",99.1412
"POLECAT LAKE","2008-2017","P80",139.344
"Saddle Blanket","2008-2017","P80",114.045
"POLK COUNTY T1-MW","2008-2017","P80",112.872428571429
"SURVEYORS LAKE","2008-2017","P80",129.79212605042
"POLK COUNTY VF-2MW","2008-2017","P80",124.283125
"ALSTON BAY UPLAND SURF","2009-2017","P80",96.02
"BIG GUM LAKE","2009-2017","P80",91.9397145148356
"Bonnet Lake","2009-2017","P80",88.4150392156863
"BUCK LAKE (HIGHLANDS)","2009-2017","P80",88.98
"Crooked Lake nr Babson Park","2009-2017","P80",113.868137566138
"CYPRESS CREEK W-17 UPLAND SURF","2009-2017","P80",59.2438571428571
"CYPRESS CREEK W-33 SURF","2009-2017","P80",65.8516
"Cypress Creek BIO-5 Surf","2009-2017","P80",62.3434285714286
"GATOR LAKE","2009-2017","P80",130.081156302521
"GREEN SWAMP 1 UPLAND SURF","2009-2017","P80",97.7177142857143
"GREEN SWAMP 4 UPLAND SURF","2009-2017","P80",99.5199738562092
"GREEN SWAMP L-11K SHALLOW","2009-2017","P80",89.9374074074074
"GREEN SWAMP 6 UPLAND SURF","2009-2017","P80",94.7811764705882
"GREEN SWAMP 7 WETLAND SURF","2009-2017","P80",104.376666666667
"GREEN SWAMP BAY UPLAND SURF","2009-2017","P80",98.486025974026
"GREEN SWAMP MARSH UPLAND SURF","2009-2017","P80",90.3486956521739
"Green Swamp 5 Upland Surf","2009-2017","P80",95.6035325670498
"LAKE ANNIE (HIGHLANDS)","2009-2017","P80",108.911392857143
"Lake Apthorpe","2009-2017","P80",67.9386666666667
"LAKE GARFIELD","2009-2017","P80",100.669024390244
"Lake Leonore (Patrick)","2009-2017","P80",84.2542857142857
"Lake Placid","2009-2017","P80",88.6007596899225
"LAKE STREETY","2009-2017","P80",102.691944444444
"Lake Van","2009-2017","P80",131.014666666667
"Lake Wailes","2009-2017","P80",101.709657142857
"ROMP 58 SURF AQ MONITOR","2009-2017","P80",121.37
"LAKE WALKER","2009-2017","P80",136.868857142857
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2009-2017","P80",128.779285714286
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2009-2017","P80",128.823857142857
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2009-2017","P80",129.301
"PARKS LAKE","2009-2017","P80",99.2407068965517
"POLECAT LAKE","2009-2017","P80",139.929782991202
"Saddle Blanket","2009-2017","P80",114.045
"POLK COUNTY T1-MW","2009-2017","P80",112.872428571429
"SURVEYORS LAKE","2009-2017","P80",129.997364285714
"POLK COUNTY VF-2MW","2009-2017","P80",124.358939849624
"ALSTON BAY UPLAND SURF","2010-2017","P80",96.0920043103448
"BIG GUM LAKE","2010-2017","P80",92.3934080338266
"Bonnet Lake","2010-2017","P80",88.47
"BUCK LAKE (HIGHLANDS)","2010-2017","P80",89.0130666666667
"Crooked Lake nr Babson Park","2010-2017","P80",113.778624338624
"CYPRESS CREEK W-17 UPLAND SURF","2010-2017","P80",59.2438571428571
"CYPRESS CREEK W-33 SURF","2010-2017","P80",66.2207142857143
"Cypress Creek BIO-5 Surf","2010-2017","P80",62.6974
"GATOR LAKE","2010-2017","P80",130.167408163265
"GREEN SWAMP 1 UPLAND SURF","2010-2017","P80",97.85
"GREEN SWAMP 4 UPLAND SURF","2010-2017","P80",99.6868148148148
"GREEN SWAMP L-11K SHALLOW","2010-2017","P80",90.059756097561
"GREEN SWAMP 6 UPLAND SURF","2010-2017","P80",94.9742857142857
"GREEN SWAMP 7 WETLAND SURF","2010-2017","P80",104.47
"GREEN SWAMP BAY UPLAND SURF","2010-2017","P80",98.6461845748187
"GREEN SWAMP MARSH UPLAND SURF","2010-2017","P80",90.5727586206897
"Green Swamp 5 Upland Surf","2010-2017","P80",95.7479545454545
"LAKE ANNIE (HIGHLANDS)","2010-2017","P80",108.96
"Lake Apthorpe","2010-2017","P80",67.935
"LAKE GARFIELD","2010-2017","P80",100.908
"Lake Leonore (Patrick)","2010-2017","P80",84.3361290322581
"Lake Placid","2010-2017","P80",88.608253968254
"LAKE STREETY","2010-2017","P80",103.021333333333
"Lake Van","2010-2017","P80",131.222752542373
"Lake Wailes","2010-2017","P80",101.68
"ROMP 58 SURF AQ MONITOR","2010-2017","P80",121.37
"LAKE WALKER","2010-2017","P80",137.307285714286
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2010-2017","P80",129.314142857143
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2010-2017","P80",129.801857142857
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2010-2017","P80",129.707571428571
"PARKS LAKE","2010-2017","P80",99.4218301158301
"POLECAT LAKE","2010-2017","P80",140.16780952381
"Saddle Blanket","2010-2017","P80",114.045
"POLK COUNTY T1-MW","2010-2017","P80",112.857285714286
"SURVEYORS LAKE","2010-2017","P80",130.121746031746
"POLK COUNTY VF-2MW","2010-2017","P80",124.530857142857
"ALSTON BAY UPLAND SURF","2011-2017","P80",96.071043062201
"BIG GUM LAKE","2011-2017","P80",92.567168627451
"Bonnet Lake","2011-2017","P80",88.5671913978495
"BUCK LAKE (HIGHLANDS)","2011-2017","P80",89.1054545454545
"Crooked Lake nr Babson Park","2011-2017","P80",113.665714285714
"CYPRESS CREEK W-17 UPLAND SURF","2011-2017","P80",59.1989090909091
"CYPRESS CREEK W-33 SURF","2011-2017","P80",66.1643035714286
"Cypress Creek BIO-5 Surf","2011-2017","P80",62.488625
"GATOR LAKE","2011-2017","P80",130.158857142857
"GREEN SWAMP 1 UPLAND SURF","2011-2017","P80",97.795
"GREEN SWAMP 4 UPLAND SURF","2011-2017","P80",99.6062655172414
"GREEN SWAMP L-11K SHALLOW","2011-2017","P80",90.0671428571429
"GREEN SWAMP 6 UPLAND SURF","2011-2017","P80",94.9683783783784
"GREEN SWAMP 7 WETLAND SURF","2011-2017","P80",104.391818181818
"GREEN SWAMP BAY UPLAND SURF","2011-2017","P80",98.6516794425087
"GREEN SWAMP MARSH UPLAND SURF","2011-2017","P80",90.4420689655172
"Green Swamp 5 Upland Surf","2011-2017","P80",95.7427586206897
"LAKE ANNIE (HIGHLANDS)","2011-2017","P80",108.971021134594
"Lake Apthorpe","2011-2017","P80",67.86228
"LAKE GARFIELD","2011-2017","P80",100.8325
"Lake Leonore (Patrick)","2011-2017","P80",84.3805882352941
"Lake Placid","2011-2017","P80",88.7234933333333
"LAKE STREETY","2011-2017","P80",103.1575
"Lake Van","2011-2017","P80",131.220104247104
"Lake Wailes","2011-2017","P80",101.911066666667
"ROMP 58 SURF AQ MONITOR","2011-2017","P80",121.4
"LAKE WALKER","2011-2017","P80",137.417510204082
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2011-2017","P80",130.091666666667
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2011-2017","P80",130.931285714286
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2011-2017","P80",129.942142857143
"PARKS LAKE","2011-2017","P80",99.5246666666667
"POLECAT LAKE","2011-2017","P80",140.192428571429
"Saddle Blanket","2011-2017","P80",113.873898131868
"POLK COUNTY T1-MW","2011-2017","P80",112.269369230769
"SURVEYORS LAKE","2011-2017","P80",130.138453514739
"POLK COUNTY VF-2MW","2011-2017","P80",124.47248245614
"ALSTON BAY UPLAND SURF","2006-2017","P50",96.47
"BIG GUM LAKE","2006-2017","P50",93.1438095238095
"Bonnet Lake","2006-2017","P50",88.6023214285714
"BUCK LAKE (HIGHLANDS)","2006-2017","P50",90.4658823529412
"Crooked Lake nr Babson Park","2006-2017","P50",115.04
"CYPRESS CREEK W-17 UPLAND SURF","2006-2017","P50",61.065
"CYPRESS CREEK W-33 SURF","2006-2017","P50",67.6078571428571
"Cypress Creek BIO-5 Surf","2006-2017","P50",63.4392857142857
"GATOR LAKE","2006-2017","P50",130.3213794926
"GREEN SWAMP 1 UPLAND SURF","2006-2017","P50",98.705
"GREEN SWAMP 4 UPLAND SURF","2006-2017","P50",100.384039408867
"GREEN SWAMP L-11K SHALLOW","2006-2017","P50",90.6177777777778
"GREEN SWAMP 6 UPLAND SURF","2006-2017","P50",95.78
"GREEN SWAMP 7 WETLAND SURF","2006-2017","P50",105.027579710145
"GREEN SWAMP BAY UPLAND SURF","2006-2017","P50",99.1589898989899
"GREEN SWAMP MARSH UPLAND SURF","2006-2017","P50",91.5513034759358
"Green Swamp 5 Upland Surf","2006-2017","P50",96.9042857142857
"LAKE ANNIE (HIGHLANDS)","2006-2017","P50",109.078181818182
"Lake Apthorpe","2006-2017","P50",68.3416666666667
"LAKE GARFIELD","2006-2017","P50",101.25
"Lake Leonore (Patrick)","2006-2017","P50",84.49
"Lake Placid","2006-2017","P50",89.9758064516129
"LAKE STREETY","2006-2017","P50",103.425269607843
"Lake Van","2006-2017","P50",131.3825
"Lake Wailes","2006-2017","P50",103.208571428571
"ROMP 58 SURF AQ MONITOR","2006-2017","P50",122.99
"LAKE WALKER","2006-2017","P50",138.127266483516
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2006-2017","P50",132.454142857143
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2006-2017","P50",132.942714285714
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2006-2017","P50",131.337
"PARKS LAKE","2006-2017","P50",99.7127586206897
"POLECAT LAKE","2006-2017","P50",140.257071428571
"Saddle Blanket","2006-2017","P50",116.358642857143
"POLK COUNTY T1-MW","2006-2017","P50",116.016301587302
"SURVEYORS LAKE","2006-2017","P50",130.261412698413
"POLK COUNTY VF-2MW","2006-2017","P50",125.520666666667
"ALSTON BAY UPLAND SURF","2007-2017","P50",96.5
"BIG GUM LAKE","2007-2017","P50",92.9407142857143
"Bonnet Lake","2007-2017","P50",88.6428571428571
"BUCK LAKE (HIGHLANDS)","2007-2017","P50",90.3928571428571
"Crooked Lake nr Babson Park","2007-2017","P50",114.914137931034
"CYPRESS CREEK W-17 UPLAND SURF","2007-2017","P50",61.065
"CYPRESS CREEK W-33 SURF","2007-2017","P50",67.7467948717949
"Cypress Creek BIO-5 Surf","2007-2017","P50",63.5146428571429
"GATOR LAKE","2007-2017","P50",130.33122242099
"GREEN SWAMP 1 UPLAND SURF","2007-2017","P50",98.7817647058824
"GREEN SWAMP 4 UPLAND SURF","2007-2017","P50",100.501403940887
"GREEN SWAMP L-11K SHALLOW","2007-2017","P50",90.6920689655172
"GREEN SWAMP 6 UPLAND SURF","2007-2017","P50",95.894
"GREEN SWAMP 7 WETLAND SURF","2007-2017","P50",105.066956521739
"GREEN SWAMP BAY UPLAND SURF","2007-2017","P50",99.2054310344828
"GREEN SWAMP MARSH UPLAND SURF","2007-2017","P50",91.5770588235294
"Green Swamp 5 Upland Surf","2007-2017","P50",96.9042857142857
"LAKE ANNIE (HIGHLANDS)","2007-2017","P50",109.072727272727
"Lake Apthorpe","2007-2017","P50",68.3525581395349
"LAKE GARFIELD","2007-2017","P50",101.339285714286
"Lake Leonore (Patrick)","2007-2017","P50",84.5077419354839
"Lake Placid","2007-2017","P50",89.8492857142857
"LAKE STREETY","2007-2017","P50",103.458947368421
"Lake Van","2007-2017","P50",131.401607142857
"Lake Wailes","2007-2017","P50",103.024285714286
"ROMP 58 SURF AQ MONITOR","2007-2017","P50",122.75
"LAKE WALKER","2007-2017","P50",137.982172988302
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2007-2017","P50",132.454142857143
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2007-2017","P50",132.942714285714
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2007-2017","P50",131.337
"PARKS LAKE","2007-2017","P50",99.6639393939394
"POLECAT LAKE","2007-2017","P50",140.275677248677
"Saddle Blanket","2007-2017","P50",116.358642857143
"POLK COUNTY T1-MW","2007-2017","P50",116.016301587302
"SURVEYORS LAKE","2007-2017","P50",130.275147058824
"POLK COUNTY VF-2MW","2007-2017","P50",125.520666666667
"ALSTON BAY UPLAND SURF","2008-2017","P50",96.5766666666667
"BIG GUM LAKE","2008-2017","P50",93.1283333333333
"Bonnet Lake","2008-2017","P50",88.7202631578947
"BUCK LAKE (HIGHLANDS)","2008-2017","P50",90.6613382594417
"Crooked Lake nr Babson Park","2008-2017","P50",114.7955
"CYPRESS CREEK W-17 UPLAND SURF","2008-2017","P50",61.065
"CYPRESS CREEK W-33 SURF","2008-2017","P50",67.8334615384615
"Cypress Creek BIO-5 Surf","2008-2017","P50",63.7006896551724
"GATOR LAKE","2008-2017","P50",130.36
"GREEN SWAMP 1 UPLAND SURF","2008-2017","P50",98.9093125
"GREEN SWAMP 4 UPLAND SURF","2008-2017","P50",100.612857142857
"GREEN SWAMP L-11K SHALLOW","2008-2017","P50",90.8295454545455
"GREEN SWAMP 6 UPLAND SURF","2008-2017","P50",95.9395119047619
"GREEN SWAMP 7 WETLAND SURF","2008-2017","P50",105.1
"GREEN SWAMP BAY UPLAND SURF","2008-2017","P50",99.3378571428571
"GREEN SWAMP MARSH UPLAND SURF","2008-2017","P50",91.6303409090909
"Green Swamp 5 Upland Surf","2008-2017","P50",96.9042857142857
"LAKE ANNIE (HIGHLANDS)","2008-2017","P50",109.105584415584
"Lake Apthorpe","2008-2017","P50",68.4304878048781
"LAKE GARFIELD","2008-2017","P50",101.398697478992
"Lake Leonore (Patrick)","2008-2017","P50",84.5386206896552
"Lake Placid","2008-2017","P50",89.9273622402891
"LAKE STREETY","2008-2017","P50",103.487757575758
"Lake Van","2008-2017","P50",131.4475
"Lake Wailes","2008-2017","P50",102.837239583333
"ROMP 58 SURF AQ MONITOR","2008-2017","P50",122.73
"LAKE WALKER","2008-2017","P50",137.83275862069
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2008-2017","P50",132.454142857143
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2008-2017","P50",132.942714285714
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2008-2017","P50",131.337
"PARKS LAKE","2008-2017","P50",99.681724137931
"POLECAT LAKE","2008-2017","P50",140.340909090909
"Saddle Blanket","2008-2017","P50",116.358642857143
"POLK COUNTY T1-MW","2008-2017","P50",116.016301587302
"SURVEYORS LAKE","2008-2017","P50",130.308139534884
"POLK COUNTY VF-2MW","2008-2017","P50",125.520666666667
"ALSTON BAY UPLAND SURF","2009-2017","P50",96.6255172413793
"BIG GUM LAKE","2009-2017","P50",93.3845027027027
"Bonnet Lake","2009-2017","P50",88.79
"BUCK LAKE (HIGHLANDS)","2009-2017","P50",90.8374568965517
"Crooked Lake nr Babson Park","2009-2017","P50",114.731428571429
"CYPRESS CREEK W-17 UPLAND SURF","2009-2017","P50",61.065
"CYPRESS CREEK W-33 SURF","2009-2017","P50",67.8792857142857
"Cypress Creek BIO-5 Surf","2009-2017","P50",63.8197142857143
"GATOR LAKE","2009-2017","P50",130.414285714286
"GREEN SWAMP 1 UPLAND SURF","2009-2017","P50",98.9515257352941
"GREEN SWAMP 4 UPLAND SURF","2009-2017","P50",100.75
"GREEN SWAMP L-11K SHALLOW","2009-2017","P50",90.8886031042129
"GREEN SWAMP 6 UPLAND SURF","2009-2017","P50",95.9393928571428
"GREEN SWAMP 7 WETLAND SURF","2009-2017","P50",105.153373590982
"GREEN SWAMP BAY UPLAND SURF","2009-2017","P50",99.4844444444444
"GREEN SWAMP MARSH UPLAND SURF","2009-2017","P50",91.637625
"Green Swamp 5 Upland Surf","2009-2017","P50",96.9042857142857
"LAKE ANNIE (HIGHLANDS)","2009-2017","P50",109.128452380952
"Lake Apthorpe","2009-2017","P50",68.4523293455313
"LAKE GARFIELD","2009-2017","P50",101.490714285714
"Lake Leonore (Patrick)","2009-2017","P50",84.5779166666667
"Lake Placid","2009-2017","P50",90.0416628959276
